feature,group,importance,normalized_importance,rank
elevation_std_0.2deg,Terrain/topography,0.0,0.0,217
elevation_gradient_min_0.2deg,Terrain/topography,0.0,0.0,218
elevation_max_0.2deg,Terrain/topography,0.0,0.0,219
elevation_min_0.2deg,Terrain/topography,0.0,0.0,220
t2m_median_120,Weather / meteorology history,0.0,0.0,221
t2m_min_120,Weather / meteorology history,0.0,0.0,222
t2m_std_120,Weather / meteorology history,0.0,0.0,223
t2m_mean_120,Weather / meteorology history,0.0,0.0,224
t2m_ewm_90,Weather / meteorology history,0.0,0.0,225
t2m_ewm_30,Weather / meteorology history,0.0,0.0,226
past_fire_count_r0_last_month,Historical fire/proximity/density,0.0,0.0,227
t2m_ewm_14,Weather / meteorology history,0.0,0.0,228
t2m_pct_change_7,Weather / meteorology history,0.0,0.0,229
t2m_ewm_120,Weather / meteorology history,0.0,0.0,230
t2m_pct_change_14,Weather / meteorology history,0.0,0.0,231
t2m_trend_slope_21,Weather / meteorology history,0.0,0.0,232
t2m_trend_intercept_21,Weather / meteorology history,0.0,0.0,233
t2m_trend_intercept_90,Weather / meteorology history,0.0,0.0,234
elevation_gradient_max_0.2deg,Terrain/topography,0.0,0.0,235
elevation_mean_0.2deg,Terrain/topography,0.0,0.0,236
d2m_lag_14,Weather / meteorology history,0.0,0.0,237
d2m_lag_7,Weather / meteorology history,0.0,0.0,238
d2m_std_7,Weather / meteorology history,0.0,0.0,239
d2m_lag_30,Weather / meteorology history,0.0,0.0,240
road_density_gaussian_25km,Anthropogenic,0.0,0.0,241
night_light_radiance_recent,Anthropogenic,0.0,0.0,242
night_light_presence_1km,Anthropogenic,0.0,0.0,243
d2m_lag_90,Weather / meteorology history,0.0,0.0,244
light_density_gaussian_10km,Anthropogenic,0.0,0.0,245
light_density_gaussian_25km,Anthropogenic,0.0,0.0,246
viirs_night_light_radiance_2024,Anthropogenic,0.0,0.0,247
distance_to_light_source_meters,Anthropogenic,0.0,0.0,248
viirs_night_light_presence_1km,Anthropogenic,0.0,0.0,249
is_holiday_today_or_yesterday,Seasonality,0.0,0.0,250
fire_index_drtcode_mean,Fire-weather / FWI,0.0,0.0,251
road_density_gaussian_10km,Anthropogenic,0.0,0.0,252
fire_index_drtcode_mean_trend,Fire-weather / FWI,0.0,0.0,253
fire_index_drtcode_min,Fire-weather / FWI,0.0,0.0,254
fire_index_drtcode_std,Fire-weather / FWI,0.0,0.0,255
fire_index_fbupinx_max,Fire-weather / FWI,0.0,0.0,256
fire_index_fbupinx_max_trend,Fire-weather / FWI,0.0,0.0,257
fire_index_fbupinx_mean,Fire-weather / FWI,0.0,0.0,258
fire_index_fbupinx_mean_trend,Fire-weather / FWI,0.0,0.0,259
fire_index_fbupinx_median,Fire-weather / FWI,0.0,0.0,260
fire_index_fbupinx_median_trend,Fire-weather / FWI,0.0,0.0,261
lsm,Other,0.0,0.0,262
slor,Terrain/topography,0.0,0.0,263
sdfor,Terrain/topography,0.0,0.0,264
sdor,Terrain/topography,0.0,0.0,265
tvh,Vegetation/fuel/ecoregion,0.0,0.0,266
tvl,Vegetation/fuel/ecoregion,0.0,0.0,267
t2m_std_7,Weather / meteorology history,0.0,0.0,268
