Model,Feature set,Region,support,positives,precision,recall,f1,F1 error,PR-AUC,PR-AUC error,ROC-AUC,Brier,threshold,evaluation_type,is_primary
LSTM embedding fusion (global full),global full NN features,Eastern Siberia,128260,31267,0.4153832091769114,0.8720695941407874,0.5627283046125271,0.0024685240301068,0.5151248459888028,0.0021513977947817,0.8095652892645935,0.1636447233299038,0.2341229170560836,legacy_sampled_case_control,0.0
FT-Transformer (global full),global full NN features,Eastern Siberia,128260,31267,0.3789336654,0.8564940672,0.5254122563,0.001951482,0.5020292125,0.005334378,0.7802978604,0.1655258664,0.1592247635,legacy_sampled_case_control,0.0
LSTM static concat (global full),global full NN features,Eastern Siberia,128260,31267,0.4422649208,0.8458438609000001,0.5808314849,0.0045802517,0.4874550147,0.0079950279,0.806922243,0.1563807126,0.320505619,legacy_sampled_case_control,0.0
TemporalConvNet embedding fusion (global full),global full NN features,Eastern Siberia,128260,31267,0.41265971456027334,0.7416445453673202,0.5302706349115606,0.0023995158881320727,0.4839611262942112,0.003957701937847636,0.773302308419417,0.15745550464098435,0.16722270846366882,legacy_sampled_case_control,0.0
Weather-only CatBoost,meteorology/history features only,Eastern Siberia,128260,31267,0.3922233002,0.8404068187,0.5348354399,0.0024275341,0.460139488,0.0033105398,0.7747588072,0.2459084163,0.500519092,,
FWI-only CatBoost,fire-weather variables only,Eastern Siberia,128260,31267,0.3031259546,0.9521220456,0.459850012,0.0008304399,0.401133351,0.0033844614,0.7265562358000001,0.2276295194,0.464663872,,
CatBoost deployment-weighted,all features,Eastern Siberia,128260,31267,0.286698498,0.9755652925,0.4431610986,0.0008385199,0.3383547421,0.0010898246,0.6657702409,0.2306006212,0.4626545382,,
Logistic Regression (linear SGD),full features,Eastern Siberia,128260,31267,0.3350847421,0.9851600729,0.5000771148,0.0008068882,0.3346261246,0.0007200868,0.6787397345,0.5074432872,1.0,,
TemporalConvNet / TSN-MLP (global full),global full NN features,Europe,52062,2848,0.1251896465,0.9561095506,0.2213911135,0.0006219961,0.337824421,0.0070626499,0.8887809733,0.0719218056,0.1911493838,legacy_sampled_case_control,0.0
LSTM static concat (global full),global full NN features,Europe,52062,2848,0.233527733,0.6608146067,0.3450994774,0.0017791189,0.3339792297,0.008320281,0.8879115225,0.053546997,0.320505619,legacy_sampled_case_control,0.0
Spatial climate TSN-MLP no tp (ERA5 global full),global full NN features,Europe,52062,2848,0.2306752748,0.4641853933,0.3081944283,0.0042255384,0.3335382537,0.0099327298,0.8473207031000001,0.0613729297,0.3871046007,legacy_sampled_case_control,0.0
Minimal MLP (global full),global full NN features,Europe,52062,2848,0.2458278915,0.5948033708,0.3478796591,0.0082578007,0.3130030218,0.004505359,0.8760016162,0.051072397,0.2953715026,legacy_sampled_case_control,0.0
LSTM attention (global full),global full NN features,Europe,52062,2848,0.2186541215,0.7507022472,0.3386662443,0.0031954826,0.3095481575,0.006882382,0.8872711861,0.0519249101,0.2067688853,legacy_sampled_case_control,0.0
Spatial climate TSN embedding fusion (global full),global full NN features,Europe,52062,2848,0.2636399840700916,0.4648876404494382,0.3364675984752223,0.0050318214869487,0.3041454352901959,0.0035596717498592,0.8735282653138803,0.0634104824603084,0.4300945103168487,legacy_sampled_case_control,0.0
Spatial climate TSN-MLP (ECMWF global full),global full NN features,Europe,52062,2848,0.1459894227,0.9304775281,0.2523809524,0.0004872582,0.3039434226,0.0126593653,0.8879430897,0.081285593,0.2851233482,legacy_sampled_case_control,0.0
Spatial climate TSN-MLP (global full),global full NN features,Europe,52062,2848,0.2224222586,0.4771769663,0.3034159411,0.0082383264,0.2990934134,0.0093641227,0.8432401737,0.0721472566,0.4269461036,legacy_sampled_case_control,0.0
LSTM gated MoE (global full),global full NN features,Europe,52062,2848,0.1940231936,0.7636938202,0.3094323517,0.002386561,0.2908173874,0.0092661709,0.8765131976,0.0581783875,0.2481723875,legacy_sampled_case_control,0.0
Random Forest,full features,Europe,52062,2848,0.1758107593,0.8089887640000001,0.2888484924,0.0021107201,0.2818226223,0.0078052413,0.8723631127,0.0556299536,0.2174188197,,
FT-Transformer (global full),global full NN features,Europe,52062,2848,0.1719093943,0.8500702247,0.2859842892,0.0026223121,0.2798939504,0.0092537673,0.8729766159000001,0.0588821765,0.1592247635,legacy_sampled_case_control,0.0
TemporalConvNet embedding fusion (global full),global full NN features,Europe,52062,2848,0.14630441133508618,0.8792134831460674,0.2508640985823774,0.0017964043384093467,0.2769070205453504,0.00599877371126897,0.8703860751405351,0.05845392481326615,0.16722270846366882,legacy_sampled_case_control,0.0
LSTM embedding fusion (global full),global full NN features,Europe,52062,2848,0.1965582843306814,0.7981039325842697,0.3154315847904524,0.0044572734135893,0.260339105066371,0.0059850140372314,0.8767318275595737,0.056720322600812,0.2341229170560836,legacy_sampled_case_control,0.0
CatBoost,all features,Europe,52062,2848,0.2597521799,0.3974719101,0.3141826256,0.0073770696,0.2311038606,0.0052965761,0.8591934986,0.0787450415,0.497643269,,
Poisson Point-Process GLM,full features,Europe,52062,2848,0.1598065344,0.5684691011,0.2494799291,0.0055583575,0.1940678664,0.0030640407,0.8253641593000001,0.0687382904,0.32268098,,
FWI-only CatBoost,fire-weather variables only,Europe,52062,2848,0.0773431508,0.8851825843000001,0.142256581,0.0017040881,0.1334646484,0.0031339557,0.7456447696,0.209899806,0.464663872,,
Logistic Regression (linear SGD),full features,Europe,52062,2848,0.1277942015,0.8651685393,0.2226942022,0.0015972549,0.1240243248,0.0008453903,0.7856575236000001,0.3549653571,1.0,,
Weather-only CatBoost,meteorology/history features only,Europe,52062,2848,0.1358392543,0.6242977528,0.2231285687,0.0015483231,0.1176132647,0.0007847845,0.745674892,0.2428314415,0.500519092,,
CatBoost deployment-weighted,all features,Europe,52062,2848,0.0721753895,0.8507724719,0.1330624125,0.0008367499,0.069493056,0.0006793293,0.6133911393,0.2139368653,0.4626545382,,
Spatial climate TSN-MLP (global full),global full NN features,Far East,10457,1230,0.4090719933,0.7991869919,0.5411505643,0.0092725346,0.6083816206,0.0117690428,0.9111895894,0.0956597985,0.4269461036,legacy_sampled_case_control,0.0
Spatial climate TSN-MLP no tp (ERA5 global full),global full NN features,Far East,10457,1230,0.4028688525,0.7991869919,0.5356948229,0.0056520239,0.5838076289,0.009021466,0.8996592714,0.0881366155,0.3871046007,legacy_sampled_case_control,0.0
Spatial climate TSN embedding fusion (global full),global full NN features,Far East,10457,1230,0.4579439252336448,0.7967479674796748,0.5816023738872403,0.0056461618431718,0.5565240462930294,0.0052729970268066,0.9129115594829948,0.0884275299022923,0.4300945103168487,legacy_sampled_case_control,0.0
Random Forest,full features,Far East,10457,1230,0.2436917481,0.8715447154,0.3808847042,0.0035075382,0.4432821033,0.0129461437,0.8537646233,0.1027110802,0.2174188197,,
LSTM embedding fusion (global full),global full NN features,Far East,10457,1230,0.3023529411764706,0.8357723577235773,0.444060475161987,0.0029974035158514,0.4277773091643477,0.0101138700791638,0.8664804863069765,0.0968075303286918,0.2341229170560836,legacy_sampled_case_control,0.0
TemporalConvNet / TSN-MLP (global full),global full NN features,Far East,10457,1230,0.176419214,0.9853658537,0.2992592593,0.0017372956,0.4220406744,0.0083748186,0.8766963516,0.1182854839,0.1911493838,legacy_sampled_case_control,0.0
LSTM gated MoE (global full),global full NN features,Far East,10457,1230,0.2588315217,0.9292682927,0.4048884166,0.0020012961,0.4097469277,0.0078864287,0.871061466,0.1137697781,0.2481723875,legacy_sampled_case_control,0.0
Spatial climate TSN-MLP (ECMWF global full),global full NN features,Far East,10457,1230,0.2240733808,0.9731707317,0.3642726719,0.0018620548,0.3995985128,0.0054224745,0.8768927529,0.1245059673,0.2851233482,legacy_sampled_case_control,0.0
FT-Transformer (global full),global full NN features,Far East,10457,1230,0.2169917479,0.9406504065,0.3526363913,0.0027274841,0.3927793698,0.0180135642,0.8547410789000001,0.1182839151,0.1592247635,legacy_sampled_case_control,0.0
LSTM static concat (global full),global full NN features,Far East,10457,1230,0.282626539,0.8398373984,0.4229273286,0.0033498998,0.3921855877,0.0175364391,0.8586953629,0.1189371976,0.320505619,legacy_sampled_case_control,0.0
Minimal MLP (global full),global full NN features,Far East,10457,1230,0.2627179365,0.8943089431000001,0.4061288536,0.0030156974,0.3911873374,0.0221426058,0.8606336476,0.1172295435,0.2953715026,legacy_sampled_case_control,0.0
LSTM attention (global full),global full NN features,Far East,10457,1230,0.2452132289,0.9162601626,0.3868863714,0.0028996956,0.3890085438,0.0096275238,0.8540750413,0.1129231015,0.2067688853,legacy_sampled_case_control,0.0
CatBoost,all features,Far East,10457,1230,0.3126614987,0.6886178862,0.4300583905,0.007529091,0.3748286968,0.0130579657,0.8387397449,0.1459205221,0.497643269,,
Poisson Point-Process GLM,full features,Far East,10457,1230,0.2421469206,0.7959349593,0.3713256211,0.0031946722,0.3506840672,0.0061283757,0.8049257173000001,0.1210585118,0.32268098,,
TemporalConvNet embedding fusion (global full),global full NN features,Far East,10457,1230,0.22368990905153746,0.8398373983739837,0.3532831737346101,0.0022326450698614683,0.32752958045712566,0.004604482467451698,0.8029126696924279,0.09813863409966307,0.16722270846366882,legacy_sampled_case_control,0.0
