model,feature_set,region_display,period,support,positives,positive_rate,precision,recall,f1,f1_error,average_precision,average_precision_error,roc_auc,brier_score,threshold
Random Forest,full features,Far East,2022,2076,192,0.0924855491329479,0.1656495204882301,0.9895833333333334,0.2837938760268857,0.006803228358798,0.3748814170609267,0.0790041427205175,0.8704745001769285,0.0933361729123056,0.142286792397499
Random Forest,full features,Far East,2023,2267,333,0.1468901632112924,0.2250384024577573,0.8798798798798799,0.3584097859327217,0.0009483694122903,0.3637271138098424,0.0478737736179447,0.7950830872237283,0.1260570075769909,0.142286792397499
Random Forest,full features,Far East,2024,2229,298,0.1336922386720502,0.2169312169312169,0.9630872483221476,0.3541024059222702,0.0048170290075229,0.3413670839649015,0.0133358191993385,0.8061963234961891,0.1297490414794176,0.142286792397499
Random Forest,full features,Far East,2025,1744,137,0.0785550458715596,0.1959942775393419,1.0,0.3277511961722488,0.0081622355803426,0.4995799047914057,0.0535272983803417,0.9281110470160202,0.0704542483836966,0.142286792397499
Random Forest,full features,Global,2021,87238,24772,0.2839588252825603,0.4324664806982813,0.9700468270628128,0.5982299563090482,0.000646486214474,0.6308621977354497,0.0037597497293814,0.8390364842892424,0.1447387642897224,0.142286792397499
Random Forest,full features,Global,2021-2023,206438,36593,0.1772590317674071,0.3196477973548037,0.9504003497936764,0.478396632598319,0.0038434257278248,0.5198908112022544,0.0051291229265838,0.8559952465641798,0.1133033149833779,0.142286792397499
Random Forest,full features,Global,2021-2025,321173,49514,0.154166134762262,0.2883721516911686,0.9234559922446176,0.4394995986985336,0.0018844488280163,0.4641516874933861,0.0022198118105815,0.8474137431890454,0.1080016662923468,0.142286792397499
Random Forest,full features,Global,2022,58312,4923,0.0844251612018109,0.1882058762242133,0.9173268332317692,0.3123314198768933,0.0020908208860621,0.2812119272721224,0.0066326863318081,0.8448258246390734,0.0828497208345808,0.142286792397499
Random Forest,full features,Global,2023,60888,6898,0.1132899750361319,0.2131254061078622,0.9034502754421572,0.3448905614433161,0.001064625964886,0.3823988311085467,0.0051476105889371,0.8396938446500971,0.0974289925457513,0.142286792397499
Random Forest,full features,Global,2024,65063,9134,0.1403870095138558,0.2468241365621278,0.8168381869936501,0.3790965906203953,0.00438690622943,0.2950342939735677,0.007396629544966,0.7758673604613107,0.1180535773864222,0.142286792397499
Random Forest,full features,Global,2025,49672,3787,0.0762401352874859,0.1784434203789042,0.9202534988117244,0.2989235321868165,0.0016095476852267,0.4000515015126978,0.0011123780331168,0.888188332854386,0.0728013674520965,0.142286792397499
