Region,Year,Model,F1,F1 Error,PR-AUC,PR-AUC Error
Eastern Siberia,2021,Spatial climate TSN-MLP no tp (ERA5 global full),0.8004,0.0019,0.8167,0.0034
Eastern Siberia,2021,TemporalConvNet / TSN-MLP (global full),0.6749,0.0008,0.6455,0.0038
Eastern Siberia,2021,Weather-only CatBoost,0.6833,0.0011,0.6937,0.0025
Eastern Siberia,2022,CatBoost,0.3469,0.004,0.2833,0.0094
Eastern Siberia,2022,FT-Transformer (global full),0.269,0.0023,0.1836,0.0047
Eastern Siberia,2022,FWI-only CatBoost,0.1972,0.0012,0.1503,0.0052
Eastern Siberia,2022,LSTM attention (global full),0.2829,0.0032,0.1531,0.0026
Eastern Siberia,2022,LSTM gated MoE (global full),0.2888,0.0019,0.1883,0.0073
Eastern Siberia,2022,LSTM static concat (global full),0.2974,0.0036,0.1733,0.0033
Eastern Siberia,2022,Logistic Regression (linear SGD),0.2416,0.0017,0.1371,0.0011
Eastern Siberia,2022,Minimal MLP (global full),0.3022,0.0035,0.1869,0.0036
Eastern Siberia,2022,Poisson Point-Process GLM,0.2917,0.0051,0.2449,0.0127
Eastern Siberia,2022,Random Forest,0.334,0.0062,0.2679,0.0048
Eastern Siberia,2022,Spatial climate TSN-MLP (ECMWF global full),0.2645,0.0026,0.1887,0.0032
Eastern Siberia,2022,Spatial climate TSN-MLP (global full),0.559,0.0069,0.5347,0.0099
Eastern Siberia,2022,Spatial climate TSN-MLP no tp (ERA5 global full),0.5434,0.0084,0.5102,0.0087
Eastern Siberia,2022,TemporalConvNet / TSN-MLP (global full),0.2526,0.0019,0.1689,0.0047
Eastern Siberia,2022,Weather-only CatBoost,0.2577,0.002,0.1605,0.0045
Eastern Siberia,2023,CatBoost,0.3066,0.002,0.4215,0.0162
Eastern Siberia,2023,FT-Transformer (global full),0.2364,0.0035,0.2071,0.0066
Eastern Siberia,2023,FWI-only CatBoost,0.1626,0.0034,0.141,0.003
Eastern Siberia,2023,LSTM attention (global full),0.2281,0.0038,0.1804,0.0059
Eastern Siberia,2023,LSTM gated MoE (global full),0.2666,0.0023,0.2859,0.0114
Eastern Siberia,2023,LSTM static concat (global full),0.2747,0.0025,0.2301,0.0083
Eastern Siberia,2023,Logistic Regression (linear SGD),0.2005,0.0016,0.1114,0.001
Eastern Siberia,2023,Minimal MLP (global full),0.2659,0.0027,0.2577,0.0131
Eastern Siberia,2023,Poisson Point-Process GLM,0.2256,0.0041,0.2005,0.0039
Eastern Siberia,2023,Random Forest,0.2809,0.0053,0.2848,0.0141
Eastern Siberia,2023,Spatial climate TSN-MLP (ECMWF global full),0.2666,0.0026,0.2492,0.0074
Eastern Siberia,2023,Spatial climate TSN-MLP (global full),0.4624,0.0036,0.5954,0.0103
Eastern Siberia,2023,Spatial climate TSN-MLP no tp (ERA5 global full),0.4516,0.0027,0.5886,0.0089
Eastern Siberia,2023,TemporalConvNet / TSN-MLP (global full),0.2078,0.0015,0.2288,0.0054
Eastern Siberia,2023,Weather-only CatBoost,0.1939,0.0023,0.1932,0.0061
Eastern Siberia,2024,CatBoost,0.4767,0.0021,0.4796,0.0018
Eastern Siberia,2024,FT-Transformer (global full),0.4457,0.0034,0.3368,0.0057
Eastern Siberia,2024,FWI-only CatBoost,0.4388,0.0019,0.3374,0.0032
Eastern Siberia,2024,LSTM attention (global full),0.4671,0.0031,0.3751,0.006
Eastern Siberia,2024,LSTM gated MoE (global full),0.4773,0.0031,0.4059,0.0036
Eastern Siberia,2024,LSTM static concat (global full),0.4689,0.0023,0.3822,0.0033
Eastern Siberia,2024,Logistic Regression (linear SGD),0.4557,0.0022,0.2979,0.0017
Eastern Siberia,2024,Minimal MLP (global full),0.483,0.002,0.3834,0.0043
Eastern Siberia,2024,Poisson Point-Process GLM,0.4901,0.0027,0.4044,0.0034
Eastern Siberia,2024,Random Forest,0.4986,0.0032,0.3885,0.0014
Eastern Siberia,2024,Spatial climate TSN-MLP (ECMWF global full),0.4863,0.0033,0.3998,0.0083
Eastern Siberia,2024,Spatial climate TSN-MLP (global full),0.6614,0.0025,0.6976,0.0055
Eastern Siberia,2024,Spatial climate TSN-MLP no tp (ERA5 global full),0.6684,0.0018,0.6877,0.0027
Eastern Siberia,2024,TemporalConvNet / TSN-MLP (global full),0.4644,0.0004,0.3952,0.0037
Eastern Siberia,2024,Weather-only CatBoost,0.4669,0.0006,0.411,0.002
Eastern Siberia,2025,CatBoost,0.3528,0.0025,0.5389,0.0039
Eastern Siberia,2025,FT-Transformer (global full),0.3781,0.0027,0.4037,0.0133
Eastern Siberia,2025,FWI-only CatBoost,0.291,0.0014,0.2309,0.0046
Eastern Siberia,2025,LSTM attention (global full),0.4198,0.0007,0.4201,0.0094
Eastern Siberia,2025,LSTM gated MoE (global full),0.4377,0.0026,0.4464,0.0088
Eastern Siberia,2025,LSTM static concat (global full),0.4633,0.003,0.4369,0.0034
Eastern Siberia,2025,Logistic Regression (linear SGD),0.3203,0.0016,0.1908,0.0011
Eastern Siberia,2025,Minimal MLP (global full),0.4328,0.0025,0.4414,0.0071
Eastern Siberia,2025,Poisson Point-Process GLM,0.4016,0.0055,0.3357,0.008
Eastern Siberia,2025,Random Forest,0.495,0.0033,0.5164,0.0077
Eastern Siberia,2025,Spatial climate TSN-MLP (ECMWF global full),0.4274,0.0023,0.385,0.0121
Eastern Siberia,2025,Spatial climate TSN-MLP (global full),0.0015,0.0008,0.1344,0.0016
Eastern Siberia,2025,Spatial climate TSN-MLP no tp (ERA5 global full),0.0016,0.0017,0.1105,0.0026
Eastern Siberia,2025,TemporalConvNet / TSN-MLP (global full),0.3471,0.0021,0.5196,0.0098
Eastern Siberia,2025,Weather-only CatBoost,0.3518,0.004,0.4172,0.0137
Europe,2021,CatBoost,0.4671,0.0115,0.4234,0.0212
Europe,2021,FT-Transformer (global full),0.3282,0.0042,0.3129,0.0098
Europe,2021,FWI-only CatBoost,0.1899,0.0024,0.1561,0.0068
Europe,2021,LSTM attention (global full),0.3833,0.0089,0.3349,0.0158
Europe,2021,LSTM gated MoE (global full),0.3585,0.0025,0.2871,0.0089
Europe,2021,LSTM static concat (global full),0.3679,0.0151,0.3611,0.0149
Europe,2021,Logistic Regression (linear SGD),0.2842,0.0063,0.1655,0.0042
Europe,2021,Minimal MLP (global full),0.3859,0.0037,0.3488,0.0159
Europe,2021,Poisson Point-Process GLM,0.3487,0.0116,0.3362,0.0104
Europe,2021,Random Forest,0.4112,0.0079,0.3351,0.016
Europe,2021,Spatial climate TSN-MLP (ECMWF global full),0.2924,0.0019,0.3769,0.0166
Europe,2021,Spatial climate TSN-MLP (global full),0.2832,0.0095,0.3003,0.0173
Europe,2021,Spatial climate TSN-MLP no tp (ERA5 global full),0.28,0.0133,0.3093,0.0122
Europe,2021,TemporalConvNet / TSN-MLP (global full),0.2615,0.0041,0.381,0.013
Europe,2021,Weather-only CatBoost,0.279,0.0053,0.2041,0.0052
Europe,2022,CatBoost,0.3283,0.0167,0.2629,0.0239
Europe,2022,FT-Transformer (global full),0.2206,0.002,0.3268,0.0202
Europe,2022,FWI-only CatBoost,0.1074,0.0031,0.1008,0.0057
Europe,2022,LSTM attention (global full),0.2868,0.0041,0.2797,0.0185
Europe,2022,LSTM gated MoE (global full),0.2638,0.0079,0.3616,0.034
Europe,2022,LSTM static concat (global full),0.3235,0.0093,0.3181,0.0281
Europe,2022,Logistic Regression (linear SGD),0.1707,0.0027,0.0926,0.0019
Europe,2022,Minimal MLP (global full),0.2913,0.0059,0.2591,0.0162
Europe,2022,Poisson Point-Process GLM,0.198,0.0111,0.1274,0.0101
Europe,2022,Random Forest,0.3049,0.0113,0.339,0.0159
Europe,2022,Spatial climate TSN-MLP (ECMWF global full),0.1812,0.0035,0.224,0.0288
Europe,2022,Spatial climate TSN-MLP (global full),0.3418,0.0061,0.3949,0.0255
Europe,2022,Spatial climate TSN-MLP no tp (ERA5 global full),0.3568,0.0115,0.4271,0.0277
Europe,2022,TemporalConvNet / TSN-MLP (global full),0.1568,0.0026,0.2692,0.0209
Europe,2022,Weather-only CatBoost,0.1456,0.0093,0.0829,0.0095
Europe,2023,CatBoost,0.3749,0.0153,0.3068,0.0175
Europe,2023,FT-Transformer (global full),0.2929,0.006,0.3615,0.0275
Europe,2023,FWI-only CatBoost,0.1279,0.0044,0.0974,0.0064
Europe,2023,LSTM attention (global full),0.3762,0.0069,0.4308,0.0164
Europe,2023,LSTM gated MoE (global full),0.3412,0.0073,0.3629,0.0146
Europe,2023,LSTM static concat (global full),0.4072,0.0068,0.4616,0.0229
Europe,2023,Logistic Regression (linear SGD),0.2216,0.0038,0.1226,0.0026
Europe,2023,Minimal MLP (global full),0.3944,0.0162,0.4249,0.0343
Europe,2023,Poisson Point-Process GLM,0.2076,0.0151,0.1474,0.0096
Europe,2023,Random Forest,0.4101,0.0037,0.44,0.0199
Europe,2023,Spatial climate TSN-MLP (ECMWF global full),0.2509,0.0042,0.397,0.0191
Europe,2023,Spatial climate TSN-MLP (global full),0.3772,0.0145,0.4695,0.0162
Europe,2023,Spatial climate TSN-MLP no tp (ERA5 global full),0.3692,0.0093,0.5055,0.027
Europe,2023,TemporalConvNet / TSN-MLP (global full),0.2213,0.0036,0.4639,0.0153
Europe,2023,Weather-only CatBoost,0.1932,0.0071,0.1321,0.0068
Europe,2024,CatBoost,0.2237,0.006,0.1853,0.0088
Europe,2024,FT-Transformer (global full),0.247,0.0023,0.2515,0.0067
Europe,2024,FWI-only CatBoost,0.12,0.0032,0.0905,0.0027
Europe,2024,LSTM attention (global full),0.2885,0.0067,0.2638,0.0165
Europe,2024,LSTM gated MoE (global full),0.2695,0.0109,0.2515,0.0278
Europe,2024,LSTM static concat (global full),0.2855,0.0081,0.2551,0.0083
Europe,2024,Logistic Regression (linear SGD),0.1788,0.0022,0.0958,0.0015
Europe,2024,Minimal MLP (global full),0.2951,0.0098,0.2559,0.0105
Europe,2024,Poisson Point-Process GLM,0.2217,0.006,0.1564,0.0093
Europe,2024,Random Forest,0.291,0.0026,0.3296,0.0116
Europe,2024,Spatial climate TSN-MLP (ECMWF global full),0.2212,0.0043,0.2225,0.0051
Europe,2024,Spatial climate TSN-MLP (global full),0.3092,0.0081,0.2691,0.0183
Europe,2024,Spatial climate TSN-MLP no tp (ERA5 global full),0.3316,0.0153,0.3281,0.0185
Europe,2024,TemporalConvNet / TSN-MLP (global full),0.191,0.0017,0.2873,0.019
Europe,2024,Weather-only CatBoost,0.1719,0.0064,0.1263,0.0105
Europe,2025,CatBoost,0.3139,0.0047,0.2631,0.0125
Europe,2025,FT-Transformer (global full),0.3013,0.0092,0.2593,0.0186
Europe,2025,FWI-only CatBoost,0.1671,0.0044,0.1388,0.0105
Europe,2025,LSTM attention (global full),0.3357,0.0116,0.2504,0.0175
Europe,2025,LSTM gated MoE (global full),0.2925,0.005,0.2447,0.0114
Europe,2025,LSTM static concat (global full),0.3354,0.019,0.2855,0.024
Europe,2025,Logistic Regression (linear SGD),0.2472,0.0036,0.1397,0.0025
Europe,2025,Minimal MLP (global full),0.3385,0.0141,0.2788,0.0197
