Region,Year,Feature Set,F1,PR-AUC,PR-AUC Error
Europe,2021,fire-weather variables only,0.1899,0.1561,0.0068
Europe,2021,full minus >30-day weather-history windows,0.5244,0.4471,0.0198
Europe,2021,full minus Gaussian road/light/population rasters,0.4743,0.4112,0.0214
Europe,2021,full minus direct geography/location variables,0.4671,0.4234,0.0212
Europe,2021,full minus ecological/fuel variables,0.4966,0.4055,0.0194
Europe,2021,full minus ecoregion categorical variables,0.4671,0.4234,0.0212
Europe,2021,full minus lagged meteorology,0.3987,0.3233,0.0103
Europe,2021,full minus month/day-of-year features,0.4698,0.4137,0.0206
Europe,2021,full minus periodic seasonality encodings,0.4671,0.4234,0.0212
Europe,2021,full minus prior-fire/proximity features,0.3894,0.3564,0.0136
Europe,2021,full minus roads/population/night lights,0.1785,0.2232,0.0078
Europe,2021,full minus topography,0.5033,0.432,0.0202
Europe,2021,meteorology plus fire-weather variables,0.2847,0.2568,0.0024
Europe,2021,meteorology/history features only,0.279,0.2041,0.0052
Europe,2021,static non-weather features,0.3603,0.3761,0.0141
Europe,2022,all features,0.3283,0.2629,0.0239
Europe,2022,fire-weather variables only,0.1074,0.1008,0.0057
Europe,2022,full minus >30-day weather-history windows,0.3494,0.2657,0.024
Europe,2022,full minus Gaussian road/light/population rasters,0.335,0.2707,0.0247
Europe,2022,full minus direct geography/location variables,0.3283,0.2629,0.0239
Europe,2022,full minus ecological/fuel variables,0.3446,0.2591,0.0216
Europe,2022,full minus ecoregion categorical variables,0.3283,0.2629,0.0239
Europe,2022,full minus lagged meteorology,0.3132,0.2439,0.0148
Europe,2022,full minus month/day-of-year features,0.3454,0.2686,0.0252
Europe,2022,full minus periodic seasonality encodings,0.3283,0.2629,0.0239
Europe,2022,full minus prior-fire/proximity features,0.2486,0.1886,0.0123
Europe,2022,full minus roads/population/night lights,0.1714,0.1075,0.0115
Europe,2022,full minus topography,0.3293,0.2539,0.0249
Europe,2022,meteorology plus fire-weather variables,0.1459,0.093,0.012
Europe,2022,meteorology/history features only,0.1456,0.0829,0.0095
Europe,2022,static non-weather features,0.3318,0.352,0.0176
Europe,2023,all features,0.3749,0.3068,0.0175
Europe,2023,fire-weather variables only,0.1279,0.0974,0.0064
Europe,2023,full minus >30-day weather-history windows,0.4269,0.375,0.0156
Europe,2023,full minus Gaussian road/light/population rasters,0.3826,0.3104,0.0158
Europe,2023,full minus direct geography/location variables,0.3749,0.3068,0.0175
Europe,2023,full minus ecological/fuel variables,0.4724,0.3059,0.0179
Europe,2023,full minus ecoregion categorical variables,0.3749,0.3068,0.0175
Europe,2023,full minus lagged meteorology,0.3388,0.2627,0.0164
Europe,2023,full minus month/day-of-year features,0.3902,0.3131,0.0173
Europe,2023,full minus periodic seasonality encodings,0.3749,0.3068,0.0175
Europe,2023,full minus prior-fire/proximity features,0.2794,0.2205,0.0123
Europe,2023,full minus roads/population/night lights,0.1333,0.1481,0.0052
Europe,2023,full minus topography,0.4682,0.3285,0.0185
Europe,2023,meteorology plus fire-weather variables,0.1859,0.1562,0.0111
Europe,2023,meteorology/history features only,0.1932,0.1321,0.0068
Europe,2023,static non-weather features,0.4514,0.4482,0.0265
Europe,2024,all features,0.2237,0.1853,0.0088
Europe,2024,fire-weather variables only,0.12,0.0905,0.0027
Europe,2024,full minus >30-day weather-history windows,0.2372,0.197,0.0053
Europe,2024,full minus Gaussian road/light/population rasters,0.2239,0.1859,0.0089
Europe,2024,full minus direct geography/location variables,0.2237,0.1853,0.0088
Europe,2024,full minus ecological/fuel variables,0.28,0.1883,0.0089
Europe,2024,full minus ecoregion categorical variables,0.2237,0.1853,0.0088
Europe,2024,full minus lagged meteorology,0.2003,0.1622,0.0083
Europe,2024,full minus month/day-of-year features,0.2258,0.184,0.0094
Europe,2024,full minus periodic seasonality encodings,0.2237,0.1853,0.0088
Europe,2024,full minus prior-fire/proximity features,0.1601,0.1304,0.0032
Europe,2024,full minus roads/population/night lights,0.1967,0.1632,0.0156
Europe,2024,full minus topography,0.2745,0.1917,0.0081
Europe,2024,meteorology plus fire-weather variables,0.1741,0.1168,0.0055
Europe,2024,meteorology/history features only,0.1719,0.1263,0.0105
Europe,2024,static non-weather features,0.2347,0.2164,0.016
Europe,2025,all features,0.3139,0.2631,0.0125
Europe,2025,fire-weather variables only,0.1671,0.1388,0.0105
Europe,2025,full minus >30-day weather-history windows,0.3301,0.2563,0.0142
Europe,2025,full minus Gaussian road/light/population rasters,0.3173,0.2593,0.011
Europe,2025,full minus direct geography/location variables,0.3139,0.2631,0.0125
Europe,2025,full minus ecological/fuel variables,0.3557,0.2622,0.0135
Europe,2025,full minus ecoregion categorical variables,0.3139,0.2631,0.0125
Europe,2025,full minus lagged meteorology,0.2565,0.2163,0.0075
Europe,2025,full minus month/day-of-year features,0.3236,0.261,0.0124
Europe,2025,full minus periodic seasonality encodings,0.3139,0.2631,0.0125
Europe,2025,full minus prior-fire/proximity features,0.2213,0.1922,0.0075
Europe,2025,full minus roads/population/night lights,0.2642,0.2038,0.0063
Europe,2025,full minus topography,0.3661,0.256,0.0121
Europe,2025,meteorology plus fire-weather variables,0.273,0.174,0.0084
Europe,2025,meteorology/history features only,0.2689,0.1677,0.0082
Europe,2025,static non-weather features,0.253,0.2416,0.0117
Far East,2021,all features,0.4898,0.5498,0.0192
Far East,2021,fire-weather variables only,0.3402,0.3581,0.0114
Far East,2021,full minus >30-day weather-history windows,0.549,0.5893,0.0187
Far East,2021,full minus Gaussian road/light/population rasters,0.4973,0.553,0.0213
Far East,2021,full minus direct geography/location variables,0.4898,0.5498,0.0192
Far East,2021,full minus ecological/fuel variables,0.5734,0.5519,0.0231
Far East,2021,full minus ecoregion categorical variables,0.4898,0.5498,0.0192
Far East,2021,full minus lagged meteorology,0.532,0.5235,0.0186
Far East,2021,full minus month/day-of-year features,0.4946,0.5427,0.0189
Far East,2021,full minus periodic seasonality encodings,0.4898,0.5498,0.0192
Far East,2021,full minus prior-fire/proximity features,0.4108,0.4517,0.0124
Far East,2021,full minus roads/population/night lights,0.4482,0.4096,0.0189
Far East,2021,full minus topography,0.5809,0.5623,0.0194
Far East,2021,meteorology plus fire-weather variables,0.3377,0.3202,0.0132
Far East,2021,meteorology/history features only,0.3226,0.3033,0.0192
Far East,2021,static non-weather features,0.4271,0.4881,0.023
Far East,2022,all features,0.4553,0.4089,0.0193
Far East,2022,fire-weather variables only,0.2692,0.2847,0.022
Far East,2022,full minus >30-day weather-history windows,0.4686,0.4231,0.0288
Far East,2022,full minus Gaussian road/light/population rasters,0.4507,0.4049,0.0196
Far East,2022,full minus direct geography/location variables,0.4553,0.4089,0.0193
Far East,2022,full minus ecological/fuel variables,0.474,0.4185,0.0218
Far East,2022,full minus ecoregion categorical variables,0.4553,0.4089,0.0193
Far East,2022,full minus lagged meteorology,0.4602,0.3845,0.0472
Far East,2022,full minus month/day-of-year features,0.463,0.4075,0.0204
Far East,2022,full minus periodic seasonality encodings,0.4553,0.4089,0.0193
Far East,2022,full minus prior-fire/proximity features,0.3762,0.3375,0.0226
Far East,2022,full minus roads/population/night lights,0.3486,0.298,0.0199
Far East,2022,full minus topography,0.4833,0.4255,0.0254
Far East,2022,meteorology plus fire-weather variables,0.2973,0.279,0.0168
Far East,2022,meteorology/history features only,0.2593,0.2885,0.0158
Far East,2022,static non-weather features,0.3687,0.3615,0.0535
Far East,2023,all features,0.5626,0.5194,0.0174
Far East,2023,fire-weather variables only,0.3265,0.3263,0.0331
Far East,2023,full minus >30-day weather-history windows,0.5922,0.5591,0.0166
Far East,2023,full minus Gaussian road/light/population rasters,0.5596,0.5223,0.0207
Far East,2023,full minus direct geography/location variables,0.5626,0.5194,0.0174
Far East,2023,full minus ecological/fuel variables,0.6068,0.502,0.0146
Far East,2023,full minus ecoregion categorical variables,0.5626,0.5194,0.0174
Far East,2023,full minus lagged meteorology,0.5074,0.4246,0.0183
Far East,2023,full minus month/day-of-year features,0.5638,0.5158,0.0139
Far East,2023,full minus periodic seasonality encodings,0.5626,0.5194,0.0174
Far East,2023,full minus prior-fire/proximity features,0.4703,0.4458,0.0152
Far East,2023,full minus roads/population/night lights,0.4594,0.3617,0.0061
Far East,2023,full minus topography,0.6025,0.5177,0.0129
Far East,2023,meteorology plus fire-weather variables,0.4143,0.3681,0.0183
Far East,2023,meteorology/history features only,0.3924,0.3358,0.0142
Far East,2023,static non-weather features,0.4423,0.424,0.0209
Far East,2024,all features,0.3269,0.313,0.013
Far East,2024,fire-weather variables only,0.3347,0.2649,0.0138
Far East,2024,full minus >30-day weather-history windows,0.3752,0.3316,0.0192
Far East,2024,full minus Gaussian road/light/population rasters,0.3269,0.3196,0.0148
Far East,2024,full minus direct geography/location variables,0.3269,0.313,0.013
Far East,2024,full minus ecological/fuel variables,0.3603,0.3071,0.0138
Far East,2024,full minus ecoregion categorical variables,0.3269,0.313,0.013
Far East,2024,full minus lagged meteorology,0.389,0.3184,0.0153
Far East,2024,full minus month/day-of-year features,0.3265,0.3185,0.0125
Far East,2024,full minus periodic seasonality encodings,0.3269,0.313,0.013
Far East,2024,full minus prior-fire/proximity features,0.3201,0.2681,0.0117
Far East,2024,full minus roads/population/night lights,0.3411,0.2697,0.0166
Far East,2024,full minus topography,0.3685,0.3083,0.0149
Far East,2024,meteorology plus fire-weather variables,0.2941,0.2506,0.0135
Far East,2024,meteorology/history features only,0.2933,0.1994,0.0085
Far East,2024,static non-weather features,0.3302,0.3223,0.0113
Far East,2025,all features,0.357,0.37,0.0424
Far East,2025,fire-weather variables only,0.247,0.4051,0.0577
Far East,2025,full minus >30-day weather-history windows,0.3915,0.4408,0.0607
Far East,2025,full minus Gaussian road/light/population rasters,0.3754,0.3967,0.0351
Far East,2025,full minus direct geography/location variables,0.357,0.37,0.0424
Far East,2025,full minus ecological/fuel variables,0.3834,0.4199,0.0405
Far East,2025,full minus ecoregion categorical variables,0.357,0.37,0.0424
Far East,2025,full minus lagged meteorology,0.3741,0.3351,0.0344
Far East,2025,full minus month/day-of-year features,0.3497,0.3791,0.0401
Far East,2025,full minus periodic seasonality encodings,0.357,0.37,0.0424
Far East,2025,full minus prior-fire/proximity features,0.2074,0.2988,0.0343
Far East,2025,full minus roads/population/night lights,0.3558,0.3875,0.0388
Far East,2025,full minus topography,0.3731,0.4109,0.0505
Far East,2025,meteorology plus fire-weather variables,0.2609,0.2731,0.026
Far East,2025,meteorology/history features only,0.2841,0.2249,0.0247
Far East,2025,static non-weather features,0.198,0.2649,0.0364
Global,2021,all features,0.6876,0.6971,0.0028
Global,2021,fire-weather variables only,0.5279,0.4994,0.0041
Global,2021,full minus >30-day weather-history windows,0.7123,0.696,0.003
Global,2021,full minus Gaussian road/light/population rasters,0.6868,0.6934,0.0032
Global,2021,full minus direct geography/location variables,0.6876,0.6971,0.0028
Global,2021,full minus ecological/fuel variables,0.7164,0.7005,0.0028
Global,2021,full minus ecoregion categorical variables,0.6876,0.6971,0.0028
Global,2021,full minus lagged meteorology,0.6723,0.6216,0.0034
Global,2021,full minus month/day-of-year features,0.6887,0.6972,0.0027
Global,2021,full minus periodic seasonality encodings,0.6876,0.6971,0.0028
