Experiment,Status,Year,Region,F1,F1 Error,PR-AUC,PR-AUC Error
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Far East,0.4183,0.0168,0.4293,0.0237
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Global,0.5034,0.0081,0.5648,0.0105
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Central Asia,0.0422,0.0143,0.1038,0.0088
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Eastern Siberia,0.4359,0.0026,0.4388,0.0039
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Europe,0.1057,0.0209,0.1771,0.013
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Far East,0.3883,0.0161,0.3063,0.0193
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Global,0.3676,0.0076,0.373,0.0039
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2021,Central Asia,0.3948,0.0067,0.3349,0.0153
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2021,Eastern Siberia,0.7647,0.0015,0.7356,0.0034
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2021,Europe,0.2304,0.0081,0.1886,0.0083
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2021,Far East,0.5603,0.009,0.5274,0.0177
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2021,Global,0.7112,0.0014,0.7005,0.0025
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Central Asia,0.3203,0.0078,0.2531,0.0108
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Eastern Siberia,0.3265,0.0086,0.2953,0.0084
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Europe,0.3422,0.019,0.2691,0.0082
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Far East,0.495,0.0277,0.4346,0.0289
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Global,0.4041,0.0027,0.3286,0.0048
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Central Asia,0.3009,0.0056,0.2845,0.0203
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Eastern Siberia,0.3689,0.0024,0.3903,0.0164
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Europe,0.4161,0.0129,0.3089,0.01
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Far East,0.5444,0.0032,0.4448,0.0147
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Global,0.5335,0.0047,0.5033,0.009
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Central Asia,0.0857,0.0099,0.0849,0.018
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Eastern Siberia,0.5085,0.0016,0.4818,0.0036
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Europe,0.2377,0.008,0.1531,0.0172
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Far East,0.4077,0.0116,0.3341,0.0204
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Global,0.4428,0.0026,0.4185,0.0075
