region_display,model_name,period_start,period_end,observed_positive_locations,average_precision,spatial_tolerant_average_precision,spatial_tolerant_weighted_brier_score
Central Asia,Spatial climate TSN-MLP (global full),2022-12-31,2023-01-02,1,1.0,1.0,0.0167
Eastern Siberia,Spatial climate TSN-MLP (global full),2021-04-06,2021-04-08,1,1.0,1.0,0.0344
Global,Spatial climate TSN-MLP (global full),2022-01-25,2022-01-27,3,1.0,1.0,0.0113
Global,Spatial climate TSN-MLP (global full),2022-01-16,2022-01-18,2,1.0,1.0,0.0065
Central Asia,Spatial climate TSN-MLP (global full),2024-04-06,2024-04-08,2,1.0,1.0,0.0384
Central Asia,Spatial climate TSN-MLP (global full),2024-04-03,2024-04-05,1,1.0,1.0,0.037
Central Asia,Spatial climate TSN-MLP (global full),2024-04-02,2024-04-04,1,1.0,1.0,0.0331
Central Asia,Spatial climate TSN-MLP (global full),2024-04-26,2024-04-28,1,1.0,1.0,0.1316
Global,Spatial climate TSN-MLP (global full),2022-01-14,2022-01-16,2,1.0,1.0,0.0071
Global,Spatial climate TSN-MLP (global full),2021-03-03,2021-03-05,3,1.0,1.0,0.0104
Global,Spatial climate TSN-MLP (global full),2021-03-04,2021-03-06,3,1.0,1.0,0.0127
Global,Spatial climate TSN-MLP (global full),2021-01-23,2021-01-25,1,1.0,1.0,0.0079
Global,Spatial climate TSN-MLP (global full),2021-01-24,2021-01-26,1,1.0,1.0,0.0093
Global,Spatial climate TSN-MLP (global full),2021-02-28,2021-03-02,1,1.0,1.0,0.0139
Global,Spatial climate TSN-MLP (global full),2021-03-01,2021-03-03,1,1.0,1.0,0.0138
Europe,Spatial climate TSN-MLP (global full),2024-04-03,2024-04-05,1,1.0,1.0,0.0465
Far East,Spatial climate TSN-MLP (global full),2021-11-01,2021-11-03,1,1.0,1.0,0.1707
Far East,Spatial climate TSN-MLP (global full),2021-10-10,2021-10-12,1,1.0,1.0,0.0751
Global,Spatial climate TSN-MLP (global full),2021-03-10,2021-03-12,2,1.0,1.0,0.027
Far East,Spatial climate TSN-MLP (global full),2021-10-17,2021-10-19,2,1.0,1.0,0.0888
Europe,Spatial climate TSN-MLP (global full),2022-01-15,2022-01-17,2,1.0,1.0,0.0136
Europe,Spatial climate TSN-MLP (global full),2024-04-19,2024-04-21,1,1.0,1.0,0.0432
