experiment_id,model,feature_set,split,region,region_display,threshold,precision,recall,f1
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test,eastern_siberia,Eastern Siberia,0.4627082306595781,0.25845524478633997,0.9294783637701091,0.4044477844578045
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test,far_east,Far East,0.4627082306595781,0.10624272974020939,0.6682926829268293,0.1833389093342255
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test,central_asia,Central Asia,0.4627082306595781,0.07028034143593744,0.6480223731522173,0.1268079118129935
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test,europe,Europe,0.4627082306595781,0.0567584287039901,0.1288623595505618,0.07880609834657505
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2021,global,Global,0.4627082306595781,0.3535240202275601,0.9030760536089133,0.5081315586244491
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2021,eastern_siberia,Eastern Siberia,0.4627082306595781,0.46258218621487845,0.949264743039062,0.6220404649160568
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2021,far_east,Far East,0.4627082306595781,0.07661822985468957,0.42962962962962964,0.13004484304932734
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2021,central_asia,Central Asia,0.4627082306595781,0.12313710879284649,0.7320044296788483,0.210811672779461
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2021,europe,Europe,0.4627082306595781,0.06556195965417867,0.10743801652892562,0.0814317673378076
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2022,global,Global,0.4627082306595781,0.10350678733031674,0.7806215722120659,0.18277805521866305
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2022,eastern_siberia,Eastern Siberia,0.4627082306595781,0.0825339479257506,0.9100274725274725,0.1513420902341519
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2022,far_east,Far East,0.4627082306595781,0.08727514990006663,0.6822916666666666,0.15475487300649735
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2022,central_asia,Central Asia,0.4627082306595781,0.08759565042287555,0.6232091690544412,0.15360169491525424
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2022,europe,Europe,0.4627082306595781,0.048280907095830286,0.17277486910994763,0.07547169811320754
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2023,global,Global,0.4627082306595781,0.1407397926532702,0.7970426210495796,0.23923590714270174
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2023,eastern_siberia,Eastern Siberia,0.4627082306595781,0.07248908296943231,0.8353702372393961,0.1334022157166638
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2023,far_east,Far East,0.4627082306595781,0.15759312320916904,0.8258258258258259,0.2646775745909528
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2023,central_asia,Central Asia,0.4627082306595781,0.04948268106162843,0.5352798053527981,0.09059089973234506
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2023,europe,Europe,0.4627082306595781,0.05064308681672026,0.12753036437246965,0.07249712313003452
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2024,global,Global,0.4627082306595781,0.17639284969047786,0.832931902780819,0.29113173251698077
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2024,eastern_siberia,Eastern Siberia,0.4627082306595781,0.2408266923548472,0.888673452900307,0.3789575223068178
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2024,far_east,Far East,0.4627082306595781,0.12966360856269113,0.7114093959731543,0.21934816347646147
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2024,central_asia,Central Asia,0.4627082306595781,0.030186109850204267,0.7112299465240641,0.05791421728717614
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2024,europe,Europe,0.4627082306595781,0.03944124897288414,0.0973630831643002,0.056140350877192984
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2025,global,Global,0.4627082306595781,0.0864475461503827,0.7604964351729602,0.1552476955420193
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2025,eastern_siberia,Eastern Siberia,0.4627082306595781,0.13539080052027905,0.9377559377559378,0.23661913618516223
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2025,far_east,Far East,0.4627082306595781,0.06557377049180328,0.6423357664233577,0.11899932386747802
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2025,central_asia,Central Asia,0.4627082306595781,0.044438736193167225,0.569078947368421,0.08243983797950917
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2025,europe,Europe,0.4627082306595781,0.0792,0.15664556962025317,0.10520722635494155
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2021-2023,global,Global,0.4627082306595781,0.22737017200461737,0.8666138332467959,0.36022855065713993
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2021-2023,eastern_siberia,Eastern Siberia,0.4627082306595781,0.2926279008982983,0.9397420038876126,0.4462860199939158
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2021-2023,far_east,Far East,0.4627082306595781,0.10966386554621849,0.6566037735849056,0.18793879387938794
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2021-2023,central_asia,Central Asia,0.4627082306595781,0.08903924221921515,0.6540755467196819,0.15674130538351597
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2021-2023,europe,Europe,0.4627082306595781,0.05501375343835959,0.1276842716192687,0.07689619014330654
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2021-2025,global,Global,0.4627082306595781,0.1954436617435242,0.8522842024477926,0.3179710134007452
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2021-2025,eastern_siberia,Eastern Siberia,0.4627082306595781,0.25845524478633997,0.9294783637701091,0.4044477844578045
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2021-2025,far_east,Far East,0.4627082306595781,0.10624272974020939,0.6682926829268293,0.1833389093342255
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2021-2025,central_asia,Central Asia,0.4627082306595781,0.07028034143593744,0.6480223731522173,0.1268079118129935
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test_2021-2025,europe,Europe,0.4627082306595781,0.0567584287039901,0.1288623595505618,0.07880609834657505
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,validation,global,Global,0.4820661726878472,0.26900726659242025,0.8463192950808298,0.4082500104589382
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test,global,Global,0.4820661726878472,0.22527276925741335,0.9457325200953266,0.3638715994125463
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test,eastern_siberia,Eastern Siberia,0.4820661726878472,0.31074898785425104,0.9819298301723862,0.47209515096065874
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test,far_east,Far East,0.4820661726878472,0.1370379683178275,0.8861788617886179,0.23736933797909407
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test,central_asia,Central Asia,0.4820661726878472,0.06906824641303975,0.8058330003995205,0.12723143884438276
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test,europe,Europe,0.4820661726878472,0.09076382230744647,0.797752808988764,0.1629842180774749
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test_2021,global,Global,0.4820661726878472,0.37111831985501287,0.983691264330696,0.5389183152167903
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test_2021,eastern_siberia,Eastern Siberia,0.4820661726878472,0.5015272616199155,0.9956541512961746,0.6670503597122303
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test_2021,far_east,Far East,0.4820661726878472,0.14369158878504673,0.9111111111111111,0.248234106962664
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test_2021,central_asia,Central Asia,0.4820661726878472,0.11618081960287284,0.9136212624584718,0.20614692653673164
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test_2021,europe,Europe,0.4820661726878472,0.1227460711331679,0.8760330578512396,0.21532211259431225
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test_2022,global,Global,0.4820661726878472,0.13128241244637942,0.8330286410725167,0.22681894859102347
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test_2022,eastern_siberia,Eastern Siberia,0.4820661726878472,0.1227894257064722,0.9251373626373627,0.21680347658136165
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test_2022,far_east,Far East,0.4820661726878472,0.11678832116788321,0.9166666666666666,0.20718069452619187
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test_2022,central_asia,Central Asia,0.4820661726878472,0.0878561736770692,0.7421203438395415,0.15711252653927812
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test_2022,europe,Europe,0.4820661726878472,0.06374407582938389,0.7041884816753927,0.11690569317687961
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test_2023,global,Global,0.4820661726878472,0.16290550070521861,0.9376630907509423,0.2775846530191837
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test_2023,eastern_siberia,Eastern Siberia,0.4820661726878472,0.09426987060998152,0.9532710280373832,0.17157275021026072
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test_2023,far_east,Far East,0.4820661726878472,0.18356643356643357,0.9459459459459459,0.3074670571010249
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test_2023,central_asia,Central Asia,0.4820661726878472,0.05453917846047635,0.7688564476885644,0.10185334407735697
catboost_weather_only,Weather-only CatBoost,meteorology/history features only,test_2023,europe,Europe,0.4820661726878472,0.07054848966613672,0.7186234817813765,0.12848353239232718
