experiment_id,experiment_type,evaluation_type,is_primary,model,feature_set,split,region,region_display,support,positives,predicted_positives,positive_rate,predicted_positive_rate,threshold,precision,recall,f1,average_precision,roc_auc,brier_score,precision_error,recall_error,f1_error,average_precision_error,roc_auc_error,brier_score_error
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test_2022,central_asia,Central Asia,9862,698,4295,0.07077671871831272,0.435510038531738,0.3036547601222992,0.12479627473806752,0.7679083094555874,0.2147005808131384,0.20848615767725748,0.7571136870449834,0.10374707756066648,4.131649098645661e-05,0.012156563573407749,0.0004226169020159544,0.025340836841459564,0.004920750712417254,0.0009948623630104954
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test_2022,europe,Europe,10330,382,2242,0.036979670861568247,0.2170377541142304,0.3036547601222992,0.10570918822479929,0.6204188481675392,0.18064024390243902,0.11679655399815067,0.8355490435079167,0.06027662238376707,0.008976887676127426,0.04812768667761843,0.015150636252622727,0.009296173140046616,0.010251378870627352,0.0010537138957206985
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test_2023,global,Global,60888,6898,25777,0.11328997503613192,0.4233510708185521,0.3036547601222992,0.22361019513519803,0.8356045230501594,0.3528079571537873,0.3475100615379024,0.8120816900630901,0.11609249101366302,0.0009403792886248583,0.006865114380451915,0.0017802928178867932,0.004439919878133878,0.0019804236490980455,4.809498949812225e-06
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test_2023,eastern_siberia,Eastern Siberia,18853,1391,9324,0.07378136105659577,0.49456319949079725,0.3036547601222992,0.12280137280137281,0.8231488138030194,0.21371908539430703,0.20341208790639229,0.743029909621558,0.12874208770734352,0.0004634395466162205,0.01677535857595692,0.00014548273404065408,0.0008922962683302839,0.004071789875609627,0.0010765880749570497
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test_2023,far_east,Far East,2267,333,1157,0.14689016321129245,0.5103661226290251,0.3036547601222992,0.25237683664649957,0.8768768768768769,0.3919463087248322,0.2542741505849101,0.7182937849949225,0.14688230703605373,0.0019642121692227685,0.016987550298775928,0.004073248238323705,0.004704487752270745,0.010989425474434282,0.0005461501253664934
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test_2023,central_asia,Central Asia,9281,411,3718,0.044284021118413966,0.40060338325611466,0.3036547601222992,0.06993006993006994,0.6326034063260341,0.12593848389440543,0.08999634800334094,0.715873786540925,0.10319934184562965,0.0019230336689002976,0.018924999009858914,0.0034930833256016968,0.0012447654088149664,0.0013967297106691834,2.9692394092096643e-05
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test_2023,europe,Europe,10456,494,1850,0.04724560061208875,0.1769319051262433,0.3036547601222992,0.11405405405405405,0.4271255060728745,0.18003412969283278,0.1081963399312952,0.7975177130586105,0.06230787101471249,0.007960333210287758,0.022902243925070346,0.011956077122896251,0.00588913434085969,0.0023887635844602947,0.0006013290989521627
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test_2024,global,Global,65063,9134,28549,0.1403870095138558,0.43879009575334676,0.3036547601222992,0.25521034011699184,0.7976790015327349,0.3866995727516387,0.344774290014245,0.7920727281765942,0.12636736839242535,0.004332348163310351,0.00705092231952398,0.005794904419575841,0.007736574462121912,0.003069838133954452,0.000989733266554467
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test_2024,eastern_siberia,Eastern Siberia,26660,6189,16627,0.23214553638409602,0.6236684171042761,0.3036547601222992,0.32537439105070065,0.8741315236710292,0.4742286115007013,0.4088512930970399,0.7371584631910431,0.17341690628463718,1.5564411651717348e-05,0.0003045904721889584,2.8442156928389557e-05,0.0018870943744232693,0.00011086204625256051,0.00014996229185809922
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test_2024,far_east,Far East,2229,298,1274,0.13369223867205024,0.5715567519066846,0.3036547601222992,0.2150706436420722,0.9194630872483222,0.3486005089058524,0.302869678787086,0.7806088579482063,0.14820950930272464,0.0004165749286783854,0.004745683095211722,0.0008990783360793307,0.0272491781362412,0.003636063251872493,0.0015433516093711437
