model_name,model_type,bin,n_unweighted,n_weighted,prob_min,prob_max,mean_predicted_probability,observed_prevalence,expected_fire_positive_grid_cells,observed_fire_positive_grid_cells,expected_observed_count_ratio
Minimal MLP full-grid rank optimized,Neural,3,179372,179372.0,1.0696375960382545e-07,2.3571117407231722e-07,1.6619753440935265e-07,0.0,0.029811184142074402,0.0,
Minimal MLP full-grid rank optimized,Neural,4,179373,179373.0,2.3571117407231722e-07,4.269608155343773e-07,3.257219880406289e-07,0.0,0.05842573016081173,0.0,
Minimal MLP full-grid rank optimized,Neural,5,179372,179372.0,4.2696162989793405e-07,6.980958265230615e-07,5.549356312462252e-07,0.0,0.09953991404789791,0.0,
Minimal MLP full-grid rank optimized,Neural,6,179372,179372.0,6.980961594009386e-07,1.0773619172940958e-06,8.770386296727565e-07,0.0,0.15731617308166168,0.0,
Minimal MLP full-grid rank optimized,Neural,7,179372,179372.0,1.0773644859253656e-06,1.603813077511217e-06,1.326294843071694e-06,0.0,0.2379001585914559,0.0,
Minimal MLP full-grid rank optimized,Neural,8,179372,179372.0,1.6038142246462928e-06,2.34186827199646e-06,1.951936619801031e-06,0.0,0.3501227753669505,0.0,
Minimal MLP full-grid rank optimized,Neural,9,179373,179373.0,2.3418732970942354e-06,3.3943548638221453e-06,2.8359673679855698e-06,0.0,0.5086959746976756,0.0,
Minimal MLP full-grid rank optimized,Neural,10,179372,179372.0,3.394362147300609e-06,4.917399778617355e-06,4.109125012938605e-06,1.672501839752024e-05,0.7370619718208234,3.0,0.24568732394027448
Minimal MLP full-grid rank optimized,Neural,11,179372,179372.0,4.917418536952381e-06,7.162244070590866e-06,5.966055978182737e-06,8.362509198760118e-05,1.070143392918594,15.0,0.0713428928612396
Minimal MLP full-grid rank optimized,Neural,12,179372,179372.0,7.162283345494505e-06,1.0425406739773736e-05,8.695288245566181e-06,5.575006132506746e-05,1.5596912431836971,10.0,0.1559691243183697
Minimal MLP full-grid rank optimized,Neural,13,179372,179372.0,1.042540922535878e-05,1.5059050273370098e-05,1.2607899033376932e-05,0.00010592511651762817,2.2615040654148872,19.0,0.11902652975867828
Minimal MLP full-grid rank optimized,Neural,14,179373,179373.0,1.5059159778018925e-05,2.154474072678067e-05,1.8116206063926147e-05,0.00011707447609171949,3.2495582303046247,21.0,0.15474086810974402
Minimal MLP full-grid rank optimized,Neural,15,179372,179372.0,2.1544758704733478e-05,3.070578181568166e-05,2.5846474037094496e-05,0.00016167517784269563,4.636133740981714,29.0,0.15986668072350738
Minimal MLP full-grid rank optimized,Neural,16,179372,179372.0,3.0705829399645045e-05,4.3989869644859646e-05,3.692116939654543e-05,0.00027317530049283056,6.622623996997147,49.0,0.13515559177545197
Minimal MLP full-grid rank optimized,Neural,17,179372,179372.0,4.3989914216930845e-05,6.4899512987701e-05,5.356413720455182e-05,0.00047945052739558014,9.607906418654869,86.0,0.1117198420773822
Minimal MLP full-grid rank optimized,Neural,18,179372,179372.0,6.489958261284293e-05,0.00010704162971648407,8.305008670096044e-05,0.00038467542314296545,14.896860151724677,69.0,0.2158965239380388
Minimal MLP full-grid rank optimized,Neural,19,179373,179373.0,0.00010704165842421708,0.0011995722582077975,0.00017464283043222274,0.00030104865280727866,31.32620842311909,54.0,0.5801149707985017
