Region,Year,Variant,F1,PR-AUC,PR-AUC Error
Far East,2024,TemporalConvNet / TSN-MLP (global full),0.3143,0.3861,0.0078
Far East,2025,FT-Transformer (global full),0.2952,0.5014,0.0407
Far East,2025,LSTM attention (global full),0.3647,0.5371,0.0432
Far East,2025,LSTM gated MoE (global full),0.3757,0.4974,0.0317
Far East,2025,LSTM static concat (global full),0.4336,0.4465,0.0392
Far East,2025,Minimal MLP (global full),0.402,0.3859,0.0238
Far East,2025,Spatial climate TSN-MLP (ECMWF global full),0.34,0.3702,0.0178
Far East,2025,Spatial climate TSN-MLP (global full),0.0339,0.0625,0.0008
Far East,2025,Spatial climate TSN-MLP no tp (ERA5 global full),0.0287,0.0567,0.0021
Far East,2025,TemporalConvNet / TSN-MLP (global full),0.2688,0.4342,0.0385
Global,2021,FT-Transformer (global full),0.563,0.5084,0.0025
Global,2021,LSTM attention (global full),0.6275,0.5972,0.003
Global,2021,LSTM gated MoE (global full),0.6347,0.6374,0.0053
Global,2021,LSTM static concat (global full),0.6493,0.5801,0.0014
Global,2021,Minimal MLP (global full),0.6507,0.6109,0.0029
Global,2021,Spatial climate TSN-MLP (ECMWF global full),0.5994,0.642,0.0042
Global,2021,Spatial climate TSN-MLP (global full),0.7484,0.8003,0.0035
Global,2021,Spatial climate TSN-MLP no tp (ERA5 global full),0.7355,0.7772,0.0032
Global,2021,TemporalConvNet / TSN-MLP (global full),0.5588,0.5867,0.0023
Global,2022,FT-Transformer (global full),0.3083,0.2501,0.0021
Global,2022,LSTM attention (global full),0.3257,0.2204,0.0019
Global,2022,LSTM gated MoE (global full),0.3213,0.2583,0.0055
Global,2022,LSTM static concat (global full),0.3291,0.2453,0.0053
Global,2022,Minimal MLP (global full),0.3472,0.2543,0.0031
Global,2022,Spatial climate TSN-MLP (ECMWF global full),0.3023,0.2888,0.0059
Global,2022,Spatial climate TSN-MLP (global full),0.5336,0.572,0.0056
Global,2022,Spatial climate TSN-MLP no tp (ERA5 global full),0.5247,0.5484,0.0088
Global,2022,TemporalConvNet / TSN-MLP (global full),0.2628,0.2614,0.0043
Global,2023,FT-Transformer (global full),0.3555,0.2979,0.0021
Global,2023,LSTM attention (global full),0.3847,0.3225,0.0037
Global,2023,LSTM gated MoE (global full),0.4012,0.3767,0.0035
Global,2023,LSTM static concat (global full),0.4232,0.3532,0.0058
Global,2023,Minimal MLP (global full),0.4244,0.3786,0.0048
Global,2023,Spatial climate TSN-MLP (ECMWF global full),0.3803,0.3976,0.0072
Global,2023,Spatial climate TSN-MLP (global full),0.5732,0.6486,0.0047
Global,2023,Spatial climate TSN-MLP no tp (ERA5 global full),0.5518,0.6103,0.0044
Global,2023,TemporalConvNet / TSN-MLP (global full),0.3217,0.3468,0.0082
