region_display,model_name,period_start,period_end,window_days,observed_positive_locations,average_precision,weighted_brier_score,observed_peak_day_index,first_quarter_fire_fraction,middle_half_fire_fraction,centered_activity_score
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-06-20,2021-07-17,28,1416,0.7749,0.1634,18.0,0.0629,0.5976,0.7114
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-31,2021-09-27,28,466,0.7745,0.0934,11.0,0.1477,0.8089,0.8065
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-08,2023-09-04,28,217,0.7739,0.0711,5.0,0.7958,0.1387,0.3372
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-30,2021-09-26,28,466,0.7709,0.0914,12.0,0.1285,0.83,0.8595
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2023-04-09,2023-05-06,28,149,0.7706,0.0949,24.0,0.0391,0.1261,0.365
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-06-23,2021-07-20,28,1515,0.7706,0.1631,15.0,0.1093,0.4999,0.7949
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-03,2021-07-30,28,1983,0.77,0.1652,27.0,0.2069,0.3027,0.4002
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-10,2021-08-06,28,3286,0.7697,0.1511,23.0,0.1426,0.4398,0.5388
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-09,2021-08-05,28,3227,0.7678,0.1499,24.0,0.1316,0.3947,0.5022
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-05,2023-09-01,28,685,0.7669,0.0809,8.0,0.3465,0.5915,0.6114
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-04,2023-08-31,28,699,0.7663,0.0821,9.0,0.3545,0.5821,0.6446
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-06-24,2021-07-21,28,1508,0.766,0.1614,14.0,0.1253,0.5502,0.8424
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2022-03-29,2022-04-25,28,369,0.7656,0.0724,21.0,0.0341,0.4859,0.5851
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-07,2021-08-03,28,3171,0.7655,0.149,26.0,0.1823,0.3479,0.4522
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-06,2021-08-02,28,3135,0.7655,0.1484,27.0,0.1884,0.3343,0.4175
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2023-10-28,2023-11-24,28,7,0.7654,0.017,1.0,0.875,0.125,0.1197
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-04,2022-08-31,28,48,0.7654,0.0132,1.0,0.9884,0.0116,0.0708
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-03,2023-08-30,28,698,0.7654,0.0826,10.0,0.2958,0.6417,0.7056
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-04,2021-07-31,28,2057,0.7651,0.1651,26.0,0.1647,0.3146,0.4267
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-02,2023-08-29,28,698,0.7642,0.0836,11.0,0.2572,0.6857,0.762
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-10-22,2021-11-18,28,134,0.7636,0.0401,3.0,0.7799,0.1887,0.2458
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-15,2021-09-11,28,428,0.7635,0.0969,27.0,0.1713,0.2486,0.3622
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-29,2021-09-25,28,473,0.7635,0.0921,13.0,0.1581,0.8065,0.8843
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-01,2023-08-28,28,704,0.7635,0.0847,12.0,0.2076,0.6801,0.8139
